client_id,full_name,jurisdiction,date_of_birth,onboarding_date,client_tier,investable_aum_usd,primary_currency,product_mandate_type,risk_appetite,shariah_compliant_flag,relationship_tenure_months,assigned_rm,co_investment_eligible_flag,last_rebalancing_date,annual_income_usd,total_debt_usd,is_active,exit_date
34,Susan Hale,China,1963-07-13,2018-09-13,HNW,2659471.58,CNY,Discretionary,Moderate,False,88,Isabella Cruz,False,2018-12-02,187307.87,4704.14,True,
35,Tanner Thomas,China,1964-08-08,2024-02-15,VHNW,26336198.76,CNY,Execution-Only,Moderate,False,22,David Ng,True,2025-12-30,2579222.73,6640717.26,True,
36,Tina Hernandez,Macau,1951-02-21,2025-06-08,UHNW,120801017.02,USD,Execution-Only,Moderate,False,6,Ahmad Rizal,True,,8495731.27,7670633.28,True,
37,Cory Jackson,China,1955-08-01,2020-10-30,VHNW,14478155.39,CNY,Advisory,Aggressive,False,62,Priya Menon,False,2022-02-01,1483991.29,2830861.55,True,
38,Caleb Pearson,Indonesia,1980-11-04,2019-06-02,UHNW,63891316.0,IDR,Discretionary,Conservative,True,80,Isabella Cruz,False,2021-04-19,5659479.96,14335786.25,True,
39,Andrew Caldwell,China,1974-07-23,2021-07-01,VHNW,29118019.33,CNY,Discretionary,Conservative,False,54,Priya Menon,True,2022-11-10,2788791.12,2634447.14,True,
40,Miss Tiffany Jacobs,Indonesia,1977-11-12,2023-12-23,VHNW,24905680.42,IDR,Advisory,Conservative,True,24,David Ng,False,2024-04-09,2910552.66,4748903.86,False,2025-10-16
41,Randall Diaz,Indonesia,1984-08-15,2021-01-11,VHNW,15887178.63,IDR,Advisory,Aggressive,False,60,Priya Menon,True,2025-09-08,989997.78,2148591.57,True,
42,Matthew Mullins,Indonesia,1961-08-07,2021-08-24,VHNW,21704711.76,IDR,Discretionary,Moderate,False,53,Rajan Pillai,False,2023-03-12,885814.63,6173227.49,True,
43,Teresa Torres,China,1981-08-26,2025-03-30,VHNW,17214446.17,CNY,Advisory,Moderate,False,9,Isabella Cruz,False,2025-09-02,1196776.46,2858319.12,False,2025-08-27
44,Christopher Lewis,China,1966-04-04,2021-06-09,UHNW,123566040.37,CNY,Discretionary,Moderate,False,55,Wei Zhang,False,2025-09-16,6836078.38,27379935.73,True,
45,Samantha Roberts,China,1968-04-12,2020-03-06,VHNW,24005197.38,CNY,Advisory,Aggressive,False,70,James Tan,False,2023-04-03,2831259.27,3985047.37,True,
46,Angela Skinner,Indonesia,1968-08-16,2024-06-09,HNW,4473844.79,IDR,Advisory,Aggressive,False,19,Mei Lin,False,,219786.44,87700.92,True,
47,Mrs. Allison Gutierrez,Singapore,1955-04-04,2021-05-29,VHNW,22161275.46,SGD,Discretionary,Aggressive,False,55,Sofia Lim,True,2024-11-15,2261679.67,2528898.66,True,
48,Cody Murphy,Macau,1956-04-21,2018-09-04,HNW,3354100.55,USD,Discretionary,Moderate,False,89,Sofia Lim,False,2020-06-08,180803.07,75532.54,True,
49,Alexander Garcia,China,1968-12-28,2025-12-05,HNW,3375244.78,CNY,Discretionary,Conservative,False,0,Isabella Cruz,False,2025-12-13,313542.16,945407.88,True,
50,Jonathan Garcia,Singapore,1953-03-26,2018-10-20,VHNW,21190868.09,SGD,Execution-Only,Aggressive,False,87,Mei Lin,True,2022-01-14,1058447.68,4378105.34,True,
51,Brittany Brown,Indonesia,1977-12-11,2018-06-13,UHNW,115080270.11,IDR,Advisory,Conservative,False,91,Isabella Cruz,False,2024-11-24,13356550.14,34509319.12,True,
52,Paige Cook,Indonesia,1978-05-06,2025-04-22,HNW,1160926.69,IDR,Advisory,Moderate,False,8,Priya Menon,False,2025-12-26,90088.88,142218.66,True,
53,Gregory Yang,China,1975-09-02,2025-06-06,HNW,1643299.41,CNY,Discretionary,Moderate,False,6,Priya Menon,False,2025-08-27,193276.3,199254.19,True,
54,Henry Norris,Singapore,1983-06-20,2020-02-08,UHNW,141802265.7,SGD,Advisory,Moderate,False,71,Ahmad Rizal,True,2022-05-21,11902537.76,39463829.79,True,
55,Brandi Hunt,Singapore,1960-05-18,2020-09-07,VHNW,8035652.08,SGD,Execution-Only,Moderate,False,64,Priya Menon,False,2025-10-20,618068.86,283175.13,False,2022-12-21
56,Candace Wade,Indonesia,1980-04-15,2023-05-31,HNW,3866413.3,IDR,Advisory,Conservative,False,31,Wei Zhang,False,2024-11-01,421911.35,320425.99,True,
57,Courtney Freeman,Indonesia,1969-10-19,2021-03-04,HNW,4736993.57,IDR,Advisory,Aggressive,False,58,Rajan Pillai,False,,373025.51,472429.78,True,
58,Robert Campbell,Indonesia,1974-04-28,2020-09-05,HNW,4731409.02,IDR,Execution-Only,Aggressive,False,64,David Ng,False,2024-08-19,335392.08,942054.99,True,
59,Crystal Horn,Indonesia,1971-02-28,2024-08-14,UHNW,114205870.43,IDR,Discretionary,Moderate,True,16,Wei Zhang,False,,8313992.03,22433961.4,True,
60,Patrick Harris,China,1955-06-28,2025-04-15,HNW,4876814.52,CNY,Discretionary,Moderate,False,8,Mei Lin,False,2025-09-24,535428.59,52521.98,True,
61,William Rose,China,1956-11-23,2022-11-13,VHNW,28023227.47,CNY,Execution-Only,Moderate,False,38,James Tan,True,2023-01-11,1848131.1,471792.57,True,
62,Paul Thomas,China,1960-03-03,2020-01-08,HNW,1976789.73,CNY,Discretionary,Moderate,False,72,Mei Lin,False,2022-09-20,223429.27,84874.09,True,
63,Kathleen Smith,Singapore,1984-03-03,2021-03-24,HNW,2021306.83,SGD,Discretionary,Aggressive,False,58,Ahmad Rizal,False,2024-07-09,184171.57,257297.57,True,
64,Zachary Wallace,China,1974-10-12,2020-08-29,VHNW,9980424.98,CNY,Discretionary,Moderate,False,65,David Ng,True,2025-04-24,618371.47,1694463.63,True,
65,Crystal Stone,Indonesia,1964-10-26,2021-03-18,VHNW,6226106.27,IDR,Advisory,Moderate,True,58,Wei Zhang,True,2025-04-02,561967.41,1687406.24,True,
66,Monica Ritter,Singapore,1968-06-24,2019-01-05,HNW,2763292.76,SGD,Advisory,Moderate,False,85,Chen Jing,False,2025-01-22,227883.75,757269.58,True,
67,Christopher Graves,Indonesia,1957-08-03,2021-10-19,HNW,4298759.25,IDR,Advisory,Aggressive,True,51,David Ng,False,2025-11-10,504595.15,1037618.57,True,
68,Micheal Reyes,China,1966-10-13,2025-07-18,VHNW,5347966.38,CNY,Advisory,Moderate,False,5,Sofia Lim,True,,415634.05,993994.74,True,
69,Katherine Taylor,Macau,1969-11-14,2023-03-17,HNW,3440328.78,USD,Advisory,Moderate,False,34,James Tan,False,,221382.29,508437.2,True,
70,Linda Hernandez,China,1984-07-19,2025-10-23,UHNW,53062888.28,CNY,Advisory,Moderate,False,2,Mei Lin,False,2025-11-04,4735978.3,14948660.37,True,
71,Stephen Walker,China,1956-11-12,2022-01-25,VHNW,10431742.12,CNY,Discretionary,Conservative,False,47,Ahmad Rizal,True,2024-04-19,575672.4,382301.61,True,
72,Helen Gomez,Indonesia,1953-06-08,2018-03-29,HNW,3651074.95,IDR,Advisory,Moderate,True,94,Sofia Lim,False,2024-06-15,317317.29,890555.21,True,
73,Timothy Joseph,China,1958-09-09,2019-08-16,VHNW,24716093.86,CNY,Advisory,Conservative,False,77,James Tan,False,2021-02-05,1696991.74,5846084.34,True,
74,Clayton Berry,Singapore,1954-08-15,2019-04-11,HNW,2061470.03,SGD,Discretionary,Moderate,False,81,Mei Lin,False,2020-06-30,165550.67,584683.8,True,
75,Kathy Gomez,China,1953-08-28,2018-05-08,VHNW,26674522.69,CNY,Advisory,Moderate,False,93,Priya Menon,True,2023-04-28,2985981.85,2577653.71,True,
76,James Mcintyre,China,1983-05-15,2022-04-10,HNW,3497269.98,CNY,Advisory,Moderate,False,45,Rajan Pillai,False,2022-11-30,341568.54,225598.11,True,
77,Rebecca Hernandez,Singapore,1970-07-11,2019-01-25,HNW,2355726.48,SGD,Advisory,Moderate,False,84,Mei Lin,False,2020-10-11,106880.88,587828.12,True,
78,Cody Harrison,China,1985-09-11,2024-07-30,HNW,3955183.99,CNY,Advisory,Moderate,False,17,James Tan,False,2025-10-06,464622.94,712419.71,True,
79,Michael Jones,China,1972-09-12,2019-03-20,VHNW,10318470.14,CNY,Advisory,Conservative,False,82,Rajan Pillai,False,2024-01-10,1217205.21,2533473.93,True,
80,Blake Jones,Singapore,1951-03-09,2020-12-31,VHNW,5656345.79,SGD,Execution-Only,Aggressive,False,60,Wei Zhang,False,2021-01-12,619873.37,960992.38,True,
81,Jennifer Reed,Singapore,1974-07-15,2020-05-31,HNW,3532688.05,SGD,Discretionary,Moderate,False,68,Chen Jing,False,2024-06-16,360852.95,601539.29,True,
82,Christopher Johnson,China,1978-11-14,2021-01-19,HNW,1629639.59,CNY,Advisory,Moderate,False,60,Sofia Lim,False,2022-08-01,163608.4,55644.46,True,
83,Selena Rodriguez,Singapore,1964-07-20,2018-07-06,HNW,3713945.02,SGD,Advisory,Moderate,False,91,Wei Zhang,False,2020-11-17,375601.93,322497.22,False,2020-10-20
84,Stephanie Graves,China,1982-09-27,2020-07-31,HNW,2722620.05,CNY,Discretionary,Moderate,False,65,James Tan,False,2022-10-22,203917.62,375520.84,True,
85,Raymond Williamson,China,1957-07-01,2021-03-31,HNW,2717137.15,CNY,Discretionary,Moderate,False,57,Isabella Cruz,False,,208697.2,562129.52,True,
86,Phillip Murray,China,1975-05-24,2018-11-19,HNW,1423452.53,CNY,Discretionary,Moderate,False,86,Priya Menon,False,2020-10-07,115070.0,48693.45,True,
87,Christopher Payne,Singapore,1965-02-05,2019-08-28,UHNW,89393795.13,SGD,Advisory,Aggressive,False,77,Priya Menon,False,,4842612.99,20726347.13,True,
88,Kathleen Gutierrez,Singapore,1970-11-11,2024-05-01,VHNW,23996928.74,SGD,Discretionary,Aggressive,False,20,Ahmad Rizal,False,2025-03-07,2095257.77,2533659.73,True,
89,Christopher Cain,China,1955-10-20,2025-03-25,HNW,1150428.98,CNY,Discretionary,Conservative,False,9,Mei Lin,False,2025-04-15,129680.95,197295.13,True,
90,Eric Peterson,China,1955-09-21,2021-11-07,VHNW,17534182.55,CNY,Execution-Only,Moderate,False,50,Rajan Pillai,False,2024-04-24,1434644.06,835045.5,True,
91,Charles Compton,China,1971-02-11,2025-01-28,HNW,2635077.59,CNY,Discretionary,Moderate,False,11,Ahmad Rizal,False,2025-06-22,257970.65,519029.19,True,
92,Amy Lopez,Macau,1969-11-23,2021-12-03,UHNW,86671546.13,USD,Advisory,Conservative,False,49,Ahmad Rizal,False,2022-05-25,7342273.04,16731766.82,True,
93,Dalton Jones,China,1955-11-22,2023-11-27,HNW,3811323.49,CNY,Execution-Only,Aggressive,False,25,Ahmad Rizal,False,2024-12-02,207416.16,244907.26,True,
94,Anna Smith,Macau,1982-09-27,2019-02-19,HNW,1906172.19,USD,Discretionary,Conservative,False,83,Isabella Cruz,False,2022-11-29,96231.05,215427.88,True,
95,Barbara Mccoy,China,1952-07-12,2022-11-28,VHNW,24277445.34,CNY,Advisory,Conservative,False,37,Mei Lin,False,2024-07-03,1425577.31,1741920.04,True,
96,Sharon Mcdonald,Brunei,1978-08-25,2024-05-25,VHNW,27599358.45,BND,Discretionary,Moderate,False,19,Isabella Cruz,False,2024-12-15,1409551.2,2069978.48,True,
97,Anthony Carter,Singapore,1968-02-25,2019-05-26,UHNW,124271926.72,SGD,Discretionary,Aggressive,False,80,Priya Menon,True,2024-04-20,14379885.04,8277927.28,True,
98,John Shepard,Singapore,1974-02-12,2020-08-23,HNW,1106680.76,SGD,Discretionary,Moderate,False,65,Chen Jing,False,2021-03-13,114331.69,45683.64,True,
99,Jake Williams,China,1950-02-01,2023-01-12,VHNW,22401799.71,CNY,Discretionary,Moderate,False,36,David Ng,True,2025-12-27,1095334.85,1936198.15,True,
100,Jeremy Smith,China,1981-10-18,2019-03-31,HNW,2679302.18,CNY,Advisory,Moderate,False,82,Ahmad Rizal,False,2020-11-08,199176.94,494178.2,False,2025-01-08
101,Joseph Schneider,China,1983-09-17,2018-10-05,HNW,3657485.21,CNY,Discretionary,Aggressive,False,88,David Ng,False,2018-12-27,401835.15,47767.95,True,
102,Hannah Bowman,China,1956-10-24,2020-09-14,HNW,3989266.37,CNY,Discretionary,Conservative,False,64,Chen Jing,False,,333826.2,973591.07,True,
103,Charles Pearson,China,1954-12-25,2019-07-07,VHNW,16615572.49,CNY,Advisory,Moderate,False,78,James Tan,False,2021-10-01,1084127.32,1545626.49,True,
104,David Murray,China,1972-01-28,2021-03-17,VHNW,16834994.19,CNY,Discretionary,Moderate,False,58,David Ng,False,2023-08-28,1674486.24,4518365.11,True,
105,Kayla Mclean,China,1967-02-24,2023-10-28,UHNW,114354548.51,CNY,Advisory,Aggressive,False,26,Rajan Pillai,True,2024-04-29,7261664.04,3519761.23,True,
106,Cassandra Brown,China,1972-08-02,2022-12-24,HNW,2783663.05,CNY,Advisory,Conservative,False,36,Ahmad Rizal,False,2025-06-01,253751.89,660962.28,True,
107,Cody Reed,China,1951-03-28,2019-10-18,VHNW,15155255.79,CNY,Advisory,Moderate,False,75,Priya Menon,True,,892335.86,2933282.52,True,
108,Jeremiah Bender,China,1973-08-25,2022-02-28,UHNW,35505505.08,CNY,Discretionary,Moderate,False,46,Ahmad Rizal,True,2025-10-20,2129227.23,1208415.09,False,2022-12-06
109,Kristi Kennedy,Indonesia,1978-04-20,2020-12-02,HNW,2547949.52,IDR,Advisory,Conservative,True,61,Wei Zhang,False,2021-08-10,275754.65,345534.58,True,
110,Lisa Mitchell,Macau,1972-12-03,2021-08-02,HNW,1351162.96,USD,Advisory,Aggressive,False,53,Wei Zhang,False,2023-04-08,130988.13,375889.94,True,
111,Daniel Payne,Singapore,1965-08-01,2019-07-23,VHNW,17718893.63,SGD,Discretionary,Conservative,False,78,Wei Zhang,True,2025-09-28,1576199.58,458292.88,True,
112,Jacob Torres,China,1954-03-11,2024-06-12,UHNW,152207842.18,CNY,Advisory,Moderate,False,18,Wei Zhang,True,2025-05-30,16778907.3,35628641.02,True,
113,Joel Miller,Singapore,1957-09-05,2018-08-15,HNW,4865058.46,SGD,Discretionary,Aggressive,False,89,Sofia Lim,False,,329276.14,1373265.97,True,
114,Tonya George,Macau,1969-10-18,2019-05-28,VHNW,11265132.72,USD,Advisory,Moderate,False,80,Wei Zhang,True,2025-11-30,604893.13,2110452.28,True,
115,Tracy Cortez,Macau,1952-11-25,2018-11-29,HNW,4695718.9,USD,Discretionary,Aggressive,False,86,David Ng,False,2025-04-29,420025.83,42664.22,True,
116,James Knight,Macau,1975-05-15,2025-09-06,VHNW,21047682.23,USD,Discretionary,Conservative,False,3,Sofia Lim,False,2025-11-04,1414728.5,907167.89,False,2025-09-13
117,Craig Gibbs,Macau,1982-09-04,2022-02-26,HNW,4952093.48,USD,Discretionary,Moderate,False,46,Mei Lin,False,2023-08-27,296301.14,143826.11,True,
118,Jodi Bishop DDS,China,1970-10-24,2019-10-17,HNW,3461509.78,CNY,Discretionary,Aggressive,False,75,Rajan Pillai,False,2025-05-18,267731.2,912878.7,True,
119,Jessica Ramos,Singapore,1972-01-02,2024-07-17,HNW,2572968.74,SGD,Advisory,Conservative,False,17,Ahmad Rizal,False,2025-11-10,213389.83,653924.4,True,
120,George Atkinson,Singapore,1953-10-18,2022-06-29,UHNW,153676370.77,SGD,Advisory,Moderate,False,42,Rajan Pillai,True,,11683760.97,25350012.59,True,
121,Jessica Hill,Indonesia,1971-09-12,2022-03-09,VHNW,20276078.53,IDR,Discretionary,Conservative,False,46,James Tan,False,2022-06-09,1033327.96,2025827.85,True,
122,Matthew Watkins,Singapore,1970-03-13,2024-11-16,HNW,3425042.09,SGD,Advisory,Conservative,False,13,Isabella Cruz,False,2025-04-18,229169.14,851077.8,True,
123,James Patel,Singapore,1957-07-19,2025-07-22,VHNW,12494764.12,SGD,Advisory,Moderate,False,5,James Tan,True,2025-12-30,1096450.15,995322.05,True,
124,Noah Barry,Indonesia,1960-09-21,2023-05-22,UHNW,128340636.48,IDR,Discretionary,Conservative,False,31,James Tan,True,2024-01-25,11012348.1,26971589.88,True,
125,Michael Ford,China,1980-12-24,2023-08-18,HNW,2675121.19,CNY,Discretionary,Conservative,False,28,Chen Jing,False,2025-03-14,320612.82,383910.11,False,2024-01-06
126,Michael Duffy,China,1966-10-16,2025-07-31,UHNW,108142800.44,CNY,Advisory,Moderate,False,5,Ahmad Rizal,False,2025-09-26,10997467.62,22868988.4,True,
127,Christina Ruiz DVM,Indonesia,1968-02-19,2021-01-25,HNW,2919213.69,IDR,Advisory,Aggressive,False,60,Chen Jing,False,2025-08-28,339705.13,704653.67,True,
128,Vincent Jensen,China,1980-04-07,2020-11-16,HNW,3856565.15,CNY,Discretionary,Moderate,False,62,Ahmad Rizal,False,2024-01-11,196614.77,712319.58,True,
129,David Robertson,Singapore,1956-07-11,2018-08-04,HNW,3679335.86,SGD,Advisory,Moderate,False,90,Wei Zhang,False,,148698.58,607479.58,True,
130,Wendy Williams,Macau,1968-06-10,2020-03-27,HNW,4740128.39,USD,Execution-Only,Moderate,False,70,Isabella Cruz,False,2021-03-28,277665.42,1050440.69,True,
131,Andrea Rivera,Macau,1975-08-06,2018-05-29,HNW,4685883.53,USD,Discretionary,Aggressive,False,92,James Tan,False,2021-08-26,190909.33,798420.95,True,
132,Gary Ewing,China,1958-09-15,2023-07-17,UHNW,78375480.9,CNY,Execution-Only,Moderate,False,29,Mei Lin,True,2025-08-03,7199793.25,16896143.23,True,
133,Rachel Mayo,China,1975-07-17,2024-11-07,HNW,2180097.03,CNY,Advisory,Conservative,False,13,Wei Zhang,False,2024-12-25,258417.4,312268.88,True,
134,Mary Baker,Macau,1969-10-24,2021-09-12,HNW,2534297.56,USD,Discretionary,Conservative,False,52,Sofia Lim,False,2023-09-18,113967.23,89885.08,True,
135,Paul Murray,China,1957-11-10,2021-06-27,HNW,3010081.88,CNY,Execution-Only,Moderate,False,54,Mei Lin,False,2022-03-27,157291.36,675222.93,True,
136,James Morris,Singapore,1963-04-22,2025-06-13,HNW,3196938.04,SGD,Advisory,Moderate,False,6,Rajan Pillai,False,2025-07-03,242135.57,674969.01,True,
137,Kimberly Harris,China,1984-03-06,2024-06-03,VHNW,6543951.19,CNY,Advisory,Moderate,False,19,Sofia Lim,True,,637076.14,959659.91,True,
138,Jean Gordon,Macau,1953-09-15,2024-04-28,HNW,1222543.22,USD,Discretionary,Moderate,False,20,David Ng,False,2024-05-20,73788.52,1105.96,True,
139,Rebecca Williams,China,1954-08-02,2018-09-04,HNW,2694789.54,CNY,Advisory,Moderate,False,89,Wei Zhang,False,,272891.14,790920.69,True,
140,John Howe,Singapore,1974-02-22,2022-03-27,HNW,4971426.39,SGD,Discretionary,Aggressive,False,45,Chen Jing,False,2022-12-24,246039.14,1480759.4,True,
141,Randall Phillips,China,1979-11-24,2021-05-07,HNW,4914897.51,CNY,Advisory,Moderate,False,56,Sofia Lim,False,2025-12-18,293915.6,510401.89,True,
142,Charles Chavez,China,1951-04-07,2022-09-14,UHNW,153254070.8,CNY,Discretionary,Aggressive,False,40,Sofia Lim,True,2022-12-22,15209437.62,18494640.77,False,2022-11-21
143,David Melton,China,1964-12-19,2021-03-30,HNW,4454920.97,CNY,Discretionary,Moderate,False,57,Chen Jing,False,2025-01-05,262627.94,1171098.47,True,
144,Craig Matthews,Brunei,1961-11-22,2024-08-20,VHNW,15339005.16,BND,Discretionary,Moderate,True,16,David Ng,True,2025-07-29,1577837.07,1466720.85,True,
145,Michael Hernandez,Singapore,1969-12-05,2020-07-12,HNW,2505840.75,SGD,Advisory,Moderate,False,66,David Ng,False,2023-09-06,294243.08,418941.56,True,
146,Marissa Butler,China,1955-09-24,2022-02-28,HNW,1813346.93,CNY,Advisory,Aggressive,False,46,David Ng,False,,170261.95,327992.05,True,
147,Angela Hutchinson,Macau,1963-06-10,2023-05-18,HNW,4046785.67,USD,Advisory,Moderate,False,31,Sofia Lim,False,,473337.16,142426.05,True,
148,Brandon Proctor,Brunei,1985-06-25,2020-09-07,HNW,1970372.73,BND,Advisory,Conservative,False,64,Ahmad Rizal,False,2022-05-31,135505.63,521840.58,True,
149,Erin Kelley,Singapore,1973-06-14,2020-04-12,VHNW,23060339.33,SGD,Advisory,Conservative,False,69,Rajan Pillai,True,,2646880.97,4006569.72,False,2022-10-05
150,Joanne Huffman,Singapore,1985-11-22,2023-08-08,HNW,2319461.14,SGD,Discretionary,Aggressive,False,29,Mei Lin,False,2024-12-20,178288.44,509891.02,True,
151,Mark Morrison MD,China,1953-09-02,2025-03-13,HNW,3186185.31,CNY,Discretionary,Aggressive,False,9,James Tan,False,,322273.43,394187.41,True,
152,Jose Johnson,Indonesia,1953-10-21,2022-03-09,HNW,3828678.25,IDR,Discretionary,Moderate,True,46,James Tan,False,2024-12-02,155172.46,633619.71,True,
153,Jonathan Henderson,China,1977-03-04,2025-10-29,VHNW,11868518.43,CNY,Execution-Only,Conservative,False,2,Chen Jing,True,2025-11-30,728560.62,1413171.75,True,
154,Shelly Wells,China,1955-11-28,2025-09-02,HNW,3260008.73,CNY,Execution-Only,Conservative,False,4,David Ng,False,,229312.67,540543.46,True,
155,Jason Reid,China,1956-09-02,2021-09-18,HNW,1685534.3,CNY,Advisory,Moderate,False,52,Isabella Cruz,False,2025-08-05,131539.14,23544.54,True,
156,Ryan Hughes,China,1951-04-19,2021-07-12,UHNW,182882980.65,CNY,Advisory,Conservative,False,54,Ahmad Rizal,True,2021-12-16,9692070.11,13193481.5,True,
157,Elijah Bell,Indonesia,1955-09-24,2019-07-28,HNW,4586103.07,IDR,Discretionary,Moderate,False,78,Chen Jing,False,2020-06-03,405473.42,844574.77,True,
